dataset,scenario,error_rate,subset_source,task_type,model_type,target,detector_mode,benchmark_assisted_detection,raha_used,episodes,rf_estimators,rf_max_depth,rf_n_jobs,reward_eval_interval,eval_sample_ratio,ve_source,delete_policy,uniclean_scope,detector_expansion,max_detector_expansion,verifier_policy,verifier_selected,expanded_semantic_errors,seed,rows,dropped_rows,feature_count,categorical_feature_count,action_counts,repair_plan_size,uniclean_candidate_repairs,uniclean_cached,uniclean_cleaned_csv,repair_fallback_count,policy_override_count,runtime_seconds,downstream_before,downstream_after,downstream_delta,downstream_fixed_before,downstream_fixed_after,downstream_fixed_delta,downstream_fixed_train_rows_after,downstream_fixed_test_rows,cell_dirty_errors,cell_changed,repair_precision,repair_recall,repair_f1,run_dir,verifier_candidate_cleaned_csv,verifier_candidate_fixed_before,verifier_candidate_fixed_after,verifier_candidate_fixed_delta,verifier_candidate_repair_f1,max_detected_errors,base_cv_folds
tax,artificial,175.0,existing_tax_subset_10k,regression,ridge,rate,benchmark,True,False,3,10,,-1,1000,0.2,uniclean,uniclean_repair,row,none,1000.0,rollback_no_improve,no_op_rollback,0,42,9986,14,14,11,"{'no_action': 0, 'repair_value': 0, 'delete': 200, 'replace_nearby': 0}",0,8374,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/5_tax_175_cleaned_by_uniclean.csv,0,200,159.674710083,0.3764192164898123,0.3764192164898123,0.0,0.3833213003257936,0.3833213003257936,0.0,6990,2996,1860.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/175/tax/20260519-223145,outputs/experiments_20260519_final/demandprep/artificial/175/tax/20260519-223145/candidate_cleaned.csv,0.3833213003257936,0.3831615657766242,-0.0001597345491693,0.1115347950428979,200.0,2.0
beers,artificial,2.0,,classification,random_forest,style,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,394,42,2406,4,8,5,"{'no_action': 0, 'repair_value': 454, 'delete': 0, 'replace_nearby': 1014}",454,669,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/3_beers_2_cleaned_by_uniclean.csv,0,0,118.882993584,0.1688826397741053,0.1815829254357099,0.0127002856616046,0.1698773794848675,0.1756667695685362,0.0057893900836687,1633,701,4242.0,394.0,0.9137055837563453,0.0848656294200848,0.1553062985332182,outputs/experiments_20260519_final/demandprep/artificial/2/beers/20260519-211600,,,,,,,
flights,artificial,2.0,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,no_op_rollback,253,42,2140,236,6,6,"{'no_action': 32, 'repair_value': 33, 'delete': 42, 'replace_nearby': 146}",33,497,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/2_flights_2_cleaned_by_uniclean.csv,0,42,26.529475208,0.7420406450037318,0.7420406450037318,0.0,1.0,1.0,0.0,1498,642,253.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_final/demandprep/artificial/2/flights/20260519-210347,outputs/experiments_20260519_final/demandprep/artificial/2/flights/20260519-210347/candidate_cleaned.csv,1.0,0.9973898274783232,-0.0026101725216768,0.9609856262833676,,
hospitals,artificial,2.0,,classification,random_forest,HospitalOwner,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,848,42,980,20,18,17,"{'no_action': 1212, 'repair_value': 1, 'delete': 1819, 'replace_nearby': 0}",1,1448,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/1_hospital_2_cleaned_by_uniclean.csv,0,1819,72.529650792,0.5610033191358735,0.605211161387632,0.0442078422517584,0.8767773428060509,0.8767773428060509,0.0,686,294,629.0,756.0,0.6124338624338624,0.7360890302066773,0.6685920577617328,outputs/experiments_20260519_final/demandprep/artificial/2/hospitals/20260519-205934,,,,,,,
rayyan,artificial,2.0,,classification,random_forest,article_language,benchmark,True,False,100,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000.0,rollback_no_improve,candidate,31,42,642,358,9,7,"{'no_action': 1, 'repair_value': 224, 'delete': 7, 'replace_nearby': 261}",224,306,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/4_rayyan_2_cleaned_by_uniclean.csv,0,7,67.59780283399999,0.1118016759776536,0.1253739612188365,0.0135722852411829,0.1118016759776536,0.1253739612188365,0.0135722852411829,449,193,104.0,31.0,0.8709677419354839,0.2596153846153846,0.3999999999999999,outputs/experiments_20260519_final/demandprep/artificial/2/rayyan/20260519-212528,,,,,,,
tax,artificial,2.0,existing_tax_subset_10k,regression,ridge,rate,benchmark,True,False,3,10,,-1,1000,0.2,uniclean,uniclean_repair,row,none,1000.0,rollback_no_improve,candidate,0,42,9986,14,14,11,"{'no_action': 0, 'repair_value': 0, 'delete': 200, 'replace_nearby': 0}",0,9336,True,result_assets/UnicleanResult/Uniclean_cleaned_data/artificial_error_cleaned_data/5_tax_2_cleaned_by_uniclean.csv,0,200,160.086226792,0.3720306241963909,0.371649597693901,-0.0003810265024898,0.3803882501150668,0.380604740163883,0.0002164900488161,6990,2996,2040.0,271.0,0.4538745387453874,0.0602941176470588,0.1064474253569883,outputs/experiments_20260519_final/demandprep/artificial/2/tax/20260519-223428,,,,,,200.0,2.0
beers,original,,,classification,random_forest,style,benchmark,True,False,300,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,,,,3338,42,2406,4,8,7,"{'no_action': 0, 'repair_value': 211, 'delete': 0, 'replace_nearby': 4207}",211,4057,True,result_assets/UnicleanResult/Uniclean_cleaned_data/original_error_cleaned_data/3_beers_cleaned_by_uniclean.csv,0,0,1293.9341305,0.1580900397153202,0.1603510909526608,0.0022610512373405,0.1511084721061628,0.1929029605225975,0.0417944884164346,1682,722,3352.0,3338.0,0.8388256440982624,0.8353221957040573,0.8370702541106129,outputs/experiments_20260519_final/demandprep/original/native/beers/20260519-183742,,,,,,,
flights,original,,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,300,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,,,,1122,42,1083,1293,6,6,"{'no_action': 7, 'repair_value': 282, 'delete': 0, 'replace_nearby': 833}",282,2080,True,result_assets/UnicleanResult/Uniclean_cleaned_data/original_error_cleaned_data/2_flights_cleaned_by_uniclean.csv,0,0,202.400204625,0.915000755687032,0.8023739311496549,-0.1126268245373771,0.9854369009933728,0.8685504179283908,-0.1168864830649819,758,325,1051.0,1115.0,0.4556053811659193,0.483349191246432,0.4690674053554939,outputs/experiments_20260519_final/demandprep/original/native/flights/20260519-183417,,,,,,,
hospitals,original,,,classification,random_forest,HospitalOwner,benchmark,True,False,300,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,,,,418,42,1000,0,18,18,"{'no_action': 2263, 'repair_value': 0, 'delete': 408, 'replace_nearby': 4}",0,863,True,result_assets/UnicleanResult/Uniclean_cleaned_data/original_error_cleaned_data/1_hospital_cleaned_by_uniclean.csv,0,408,229.009473667,0.4927264222928504,0.4916109197133461,-0.0011155025795042,1.0,1.0,0.0,700,300,482.0,177.0,0.9548022598870056,0.3506224066390041,0.5128983308042487,outputs/experiments_20260519_final/demandprep/original/native/hospitals/20260519-183025,,,,,,,
rayyan,original,,,classification,random_forest,article_language,benchmark,True,False,300,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,,,,695,42,642,358,9,7,"{'no_action': 548, 'repair_value': 0, 'delete': 603, 'replace_nearby': 0}",0,1397,True,result_assets/UnicleanResult/Uniclean_cleaned_data/original_error_cleaned_data/4_rayyan_cleaned_by_uniclean.csv,0,603,319.63656375000005,0.1625147579693034,0.1418623159570234,-0.0206524420122799,0.1537615046018407,0.1322222222222222,-0.0215392823796185,449,193,723.0,335.0,0.9253731343283582,0.4287690179806362,0.5860113421550094,outputs/experiments_20260519_final/demandprep/original/native/rayyan/20260519-185920,,,,,,,
tax,original,,existing_cluster_subset_10k,regression,ridge,rate,benchmark,True,False,300,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,,,,200,42,9950,50,14,8,"{'no_action': 0, 'repair_value': 0, 'delete': 246, 'replace_nearby': 1}",0,400,True,result_assets/UnicleanResult/Uniclean_cleaned_data/original_error_cleaned_data/5_tax50k_cleaned_by_uniclean.csv,0,246,485.127660458,0.5729178972380502,0.5735899246342776,0.0006720273962274,0.5751096948080131,0.575619870526217,0.0005101757182038,6965,2985,165.0,200.0,0.635,0.7696969696969697,0.695890410958904,outputs/experiments_20260519_final/demandprep/original/native/tax/20260519-190442,,,,,,,
